編號,X(WGS84),Y(WGS84),X,Y,編號對照
42,120.4752,23.74048,196499,2626381,惠來-3
47,120.46799,23.7411,195765,2626452,惠來-8
50,120.44741,23.73502,193664,2625787,惠來-12
51,120.44987,23.73694,193915,2625999,惠來-13
73,120.41022,23.72084,189364,2624262,北溪厝-5
34,120.40948,23.71999,189789,2624138,北溪-1
1,120.40359,23.70361,189182,2622328,東屯-5
2,120.38845,23.6992,187636,2621845,東屯-8
4,120.39428,23.71169,188236,2623226,東屯-15
5,120.38938,23.71828,187752,2622100,東屯-17
6,120.38421,23.71812,187213,2623942,東屯-18
7,120.38912,23.70983,187709,2623022,東屯-20
8,120.37876,23.69755,186647,2621667,東屯-33
9,120.41768,23.69721,190616,2621612,虎尾-1
10,120.41902,23.695,190752,2621367,虎尾-3
11,120.41682,23.68592,190523,2620362,虎尾-9
12,120.41773,23.68665,190616,2620443,虎尾-10
13,120.40447,23.68541,189263,2620311,虎尾-15
14,120.40868,23.67781,189689,2619468,虎尾-20
15,120.40848,23.67539,189668,2619200,虎尾-21
16,120.40782,23.67299,189599,2618934,虎尾-22
17,120.40741,23.69306,189872,2621157,虎尾-24
18,120.40009,23.69198,188820,2621041,虎尾-30
19,120.40175,23.69407,188990,2621271,虎尾-31
20,120.3989,23.69419,188654,2621283,虎尾-33
21,120.40775,23.70225,189605,2622175,虎尾-39
22,120.41035,23.70419,189871,2622388,虎尾-42
23,120.41691,23.70319,190540,2622275,虎尾-44
24,120.41753,23.70656,190605,2622648,虎尾-47
25,120.47421,23.72943,196394,2625158,虎尾-50
26,120.47565,23.7294,196541,2625155,虎尾-51
27,120.4392,23.72757,192824,2624966,虎尾-53
28,120.44198,23.73235,193109,2625494,虎尾-54
29,120.44733,23.73363,193655,2625634,虎尾-55
30,120.43852,23.73344,192757,2625616,虎尾-56
31,120.43631,23.73338,192532,2625611,虎尾-57
44,120.4743,23.74054,196407,2626388,惠來-5
46,120.47315,23.73839,196289,2626150,惠來-7
54,120.3995,23.68985,188758,2620805,虎尾-29
57,120.49527,23.72442,198539,2624595,惠來-19
59,120.43534,23.69077,192414,2620892,番薯-2
60,120.44303,23.6932,193199,2621157,番薯-3
70,120.40401,23.73166,189265,2625436,北溪厝-1
72,120.41806,23.72139,190664.577,2624289.524,北溪厝-4
76,120.40598,23.72105,189717,2624544,北溪厝-8
77,120.40878,23.72361,189867,2624231,北溪厝-9
79,120.40906,23.70787,189741,2622796,東屯-1
80,120.39979,23.70406,188794,2622378,東屯-4
81,120.41132,23.70905,189972,2622926,東屯-11
82,120.39089,23.71177,187890,2623236,東屯-14
83,120.38405,23.71486,187194,2623581,東屯-19
84,120.39461,23.70638,188267,2622637,東屯-24
85,120.39304,23.70818,188108,2622837,東屯-25
86,120.38003,23.6974,186776,2621649,東屯-29
87,120.3805,23.69955,186825,2621887,東屯-31
32,120.41554,23.71609,190406,2623704,新吉-1
33,120.41624,23.71571,190477,2623661,新吉-2
64,120.47201,23.70807,196160,2622793,惠來-20
65,120.47077,23.7076,196034,2622742,惠來-21
66,120.47214,23.71113,196175,2623132,惠來-22
67,120.47289,23.71139,196252,2623160,惠來-23
68,120.48039,23.71927,197019,2624030,惠來-24
69,120.47684,23.72153,196658,2624282,惠來-25
3,120.41649,23.70878,190500,2622894,東屯-12
35,120.40935,23.71992,189776,2624130,北溪-2
38,120.40917,23.72123,189758,2624276,廉使-2
74,120.40655,23.71667,189502,2624549,北溪厝-6
78,120.40738,23.72114,189577,2624264,北溪厝-10
39,120.40333,23.72119,189163,2624274,廉使-3
52,120.46784,23.73709,195747,2626009,惠來-14
40,120.46664,23.74275,195627,2626636,惠來-1
41,120.46896,23.74266,195864,2626625,惠來-2
58,120.43742,23.69274,192627,2621109,番薯-1
61,120.44239,23.69452,193134,2621304,番薯-4
62,120.43933,23.69405,192822,2621253,番薯-5
63,120.43752,23.69688,192639,2621567,番薯-6
36,120.40734,23.71543,189569,2623634,建國-1
43,120.47317,23.7405,196292,2626384,惠來-4
48,120.46812,23.7407,195777,2626408,惠來-9
71,120.40423,23.73171,189237,2625432,北溪厝-2
53,120.47242,23.72498,196209,2624666,惠來-15
56,120.47394,23.72389,196364,2624544,惠來-18
45,120.47399,23.74048,196376,2626382,惠來-6
49,120.46699,23.74091,195663,2626432,惠來-10
55,120.47466,23.73157,196440,2625395,惠來-17
37,120.41449,23.71909,190300,2624037,廉使-1
75,120.40532,23.72102,189432,2624263,北溪厝-7
