,InputID,TargetID,Distance
0,42,22958,-0.23126127083978276
1,47,23054,0.4441903500151603
2,50,22140,0.5518201433605187
3,51,24327,0.6048604541485321
4,73,87170,0.8019812831162776
5,34,87174,0.17041417555769817
6,1,21167,0.4859185994734787
7,2,14350,0.8177182532355453
8,4,20892,0.49106167309232424
9,5,84461,0.6039996062012593
10,6,20032,0.6735854445372168
11,7,20899,0.43768318354969826
12,8,14406,0.7114245969346876
13,9,19781,0.5633898490167227
14,10,86612,0.34333476288258424
15,11,18919,0.725884087278831
16,12,18924,0.622940742274283
17,13,19035,0.1093505838534715
18,14,86341,0.5138853495023235
19,15,86329,0.63739724328115
20,16,86282,0.3353974098651738
21,17,86702,0.3849734586543324
22,18,84270,0.7802855774664668
23,19,13572,0.47480543949790477
24,20,13584,0.7178908387322004
25,21,86583,0.5393456018439163
26,22,86588,0.5373931713237979
27,23,19529,0.7065986263903712
28,24,19594,0.4724121911293043
29,25,23268,0.6009428157565286
30,26,69773,0.6181333375106665
31,26,69773,0.6181333375106665
32,27,87345,0.6438418924115515
33,28,87348,0.5708046502294689
34,29,22136,0.662635569786338
35,30,22263,0.693020755429082
36,31,19214,0.6595092525534615
37,44,87728,0.42327849732852696
38,46,23023,0.6738775796386285
39,54,13659,0.1332674527894784
40,57,69680,0.7319330483309281
41,59,19406,0.9062991540079316
42,60,19363,0.7754549194300524
43,70,20551,0.5795937644727541
44,72,21542,0.3057249335687784
45,76,21696,0.6651853048896987
46,77,87176,0.34515519105732273
47,79,87041,0.4902597221493648
48,80,20800,0.5425338129022585
49,81,21345,0.46101462538153826
50,82,20873,0.3784760630241952
51,83,14108,0.6271196020626586
52,84,20833,0.6452837855065765
53,85,20841,0.6147080740428411
54,86,13922,0.41561074958084027
55,87,13950,0.8543989596972407
56,32,21397,0.6325559643021398
57,33,21397,0.6325559643021398
58,64,23714,0.14305625258482074
59,65,23698,0.24483706119956922
60,66,23750,0.3052220032061259
61,67,23759,0.6334445459694615
62,68,5859,0.38814827411408753
63,69,88133,0.26126643523289905
64,3,87113,0.7540487529307117
65,35,87174,0.17041417555769817
66,38,87167,0.585775051272922
67,74,21686,0.41288223216578085
68,78,21609,0.6384083243981293
69,39,21582,0.6601331288223613
70,52,23061,0.6372274543806599
71,40,24169,0.5526939729543531
72,41,5424,0.8779416101607537
73,58,19415,0.7199192349012075
74,61,19358,0.36433800425716695
75,62,86552,0.7087908564097655
76,63,19473,0.5650958137911836
77,36,21262,0.0
78,43,22986,0.5013740486330839
79,48,23054,0.4441903500151603
80,71,20529,0.5232298872307929
81,53,23587,0.7600752732555519
82,56,23577,0.49614551318823485
83,45,87730,0.4194363876073556
84,49,87763,0.5833514631804868
85,55,23521,0.3676203238647099
86,37,21524,0.5745083506020244
87,75,87171,0.5301034109926106
